image,tier,backend,execution_providers,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source
006641.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,7,1,55.0,0.12475109100341797,69.0,2055.0,nvml
006642.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,43,10,55.0,0.12475109100341797,69.0,2010.0,nvml
006643.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,1,6,55.0,0.12475109100341797,69.0,2040.0,nvml
006644.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,36,5,58.0,0.12475109100341797,69.0,2010.0,nvml
006645.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,2,16,1,True,True,20,6,58.0,0.12475109100341797,69.0,2032.0,nvml
006646.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,20,4,58.0,0.12475109100341797,69.0,2055.0,nvml
006647.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,30,7,58.0,0.12475109100341797,69.0,2017.0,nvml
006648.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,98,17,58.0,0.12475109100341797,69.0,1935.0,nvml
006649.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,57,10,58.0,0.12475109100341797,69.0,2002.0,nvml
006650.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,2,3,1,True,True,14,5,54.0,0.12475109100341797,69.0,2017.0,nvml
006651.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,2,0,True,True,22,6,54.0,0.12475109100341797,69.0,2047.0,nvml
006652.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,66,0,True,True,69,1,54.0,0.12475109100341797,69.0,2055.0,nvml
006653.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,48,0,True,True,55,1,54.0,0.12475109100341797,69.0,1980.0,nvml
006654.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,30,2,54.0,0.12475109100341797,69.0,2025.0,nvml
006655.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,53,13,59.0,0.12475109100341797,69.0,2010.0,nvml
006656.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,13,0,True,True,20,1,59.0,0.12475109100341797,69.0,2047.0,nvml
006657.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,2,5,1,True,True,27,5,59.0,0.12475109100341797,69.0,2055.0,nvml
006658.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,10,0,False,True,66,6,59.0,0.12475109100341797,69.0,1980.0,nvml
006659.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,45,8,59.0,0.12475109100341797,69.0,2025.0,nvml
006660.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,98,14,59.0,0.12475109100341797,69.0,2017.0,nvml
006661.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,48,0,True,True,54,1,54.0,0.12475109100341797,69.0,2047.0,nvml
006662.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,76,12,54.0,0.12475109100341797,69.0,2055.0,nvml
006663.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,84,10,54.0,0.12475109100341797,69.0,1980.0,nvml
006664.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,35,6,54.0,0.12475109100341797,69.0,2025.0,nvml
006665.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,67,7,54.0,0.12475109100341797,69.0,2010.0,nvml
006666.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,41,0,True,True,50,1,59.0,0.12475109100341797,69.0,2025.0,nvml
006667.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,40,7,59.0,0.12475109100341797,69.0,2055.0,nvml
006668.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,8,2,59.0,0.12475109100341797,69.0,2040.0,nvml
006669.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,44,6,59.0,0.12475109100341797,69.0,1942.0,nvml
006670.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,23,7,59.0,0.12475109100341797,69.0,2002.0,nvml
006671.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,5,3,59.0,0.12475109100341797,69.0,2017.0,nvml
006672.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,57,9,54.0,0.12475109100341797,69.0,2047.0,nvml
006673.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,5,0,False,True,58,10,54.0,0.12475109100341797,69.0,2032.0,nvml
006674.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,20,3,54.0,0.12475109100341797,69.0,1935.0,nvml
006675.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,14,3,54.0,0.12475109100341797,69.0,1942.0,nvml
006676.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,37,0,True,True,43,1,54.0,0.12475109100341797,69.0,2002.0,nvml
006677.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,12,3,58.0,0.12475109100341797,68.0,2002.0,nvml
006678.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,87,12,58.0,0.12475109100341797,68.0,2040.0,nvml
006679.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,48,9,58.0,0.12475109100341797,68.0,2055.0,nvml
006680.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,12,4,58.0,0.12475109100341797,68.0,2040.0,nvml
006681.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,29,3,58.0,0.12475109100341797,68.0,1942.0,nvml
006682.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,6,13,6,True,True,44,16,58.0,0.12475109100341797,68.0,2002.0,nvml
006683.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,10,2,54.0,0.12475109100341797,68.0,2010.0,nvml
006684.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,79,8,54.0,0.12475109100341797,68.0,2040.0,nvml
006685.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,39,0,True,True,40,1,54.0,0.12475109100341797,68.0,2055.0,nvml
006686.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,9,0,False,True,31,4,54.0,0.12475109100341797,68.0,1980.0,nvml
006687.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,49,5,54.0,0.12475109100341797,68.0,2025.0,nvml
006688.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,30,5,59.0,0.12475109100341797,68.0,2010.0,nvml
006689.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,23,7,59.0,0.12475109100341797,68.0,2055.0,nvml
006690.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,3,0,True,True,35,6,59.0,0.12475109100341797,69.0,2047.0,nvml
006691.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,10,1,59.0,0.12475109100341797,69.0,2055.0,nvml
